,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,min_price,max_price,var_price,var_price_3d,ma30,ma60,vma30,vma60,mid_price,open_dev_ma5,open_dev_ma10,close_dev_ma5,close_dev_ma10,diff,dea,macd,BOLL_low,BOLL_up,BOLL_relative,dividend_ind,rel_1y,rel_6m,rel_3m,rel_1m,rel_2w,rel_5d,ema5,ema10,ema20,ema30,ema60,ma_range,ema60_pos,v_diff0,v_diff1,v_diff2,v_diff3,v_diff4,v_diff5,RSI,rel_1m_v,rel_2w_v,rel_5d_v,rel_8w_var,rel_4w_var,rel_2w_var
143,2018-04-11 09:35:00,31.94,31.94,31.73,31.94,70.0,-0.21,-0.66,31.666,31.704,31.6705,64.2,42.2,55.1,0.01,31.73,31.94,0.09200000000000089,0.10666666666666795,31.72633333333332,31.808666666666678,50.90199999999998,117.00183333333334,31.835,2.9782608695651986,2.5652173913043304,0.6956521739130374,0.282608695652169,-0.03511617557608204,-0.10431278254088107,0.13839321392959805,31.474745675986057,31.866254324013944,0.3039524173972355,-1.0,,,0.29850746268656536,0.7407407407407393,0.5882352941176495,1.0,31.684613101975575,31.684292776785263,31.70111706000975,31.724293837043042,31.76313114759839,-312.6313555565859,0.6740661694417317,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.536,0.7701149425287356,0.47368421052631576,0.6086956521739268,0.8709677419354876,0.8666666666666699
142,2018-04-11 09:40:00,31.73,31.73,31.63,31.63,30.0,-0.1,-0.32,31.656,31.687,31.664,59.0,42.7,51.9,0.0,31.63,31.73,0.05200000000000031,0.05000000000000071,31.714333333333318,31.807166666666678,51.86866666666665,115.11850000000001,31.68,1.4230769230769458,0.8269230769230578,-0.49999999999999317,-1.0961538461538811,-0.017332928106917223,-0.0944490124630657,0.15423216871229695,31.472936910990498,31.855063089009505,-0.17795169216756096,-1.0,,,0.14925373134328002,0.3703703703703631,0.0,0.0,31.666408734650386,31.674421362795883,31.69434363413765,31.718201525972944,31.758593197134772,-577.2108055461382,1.2355685191754335,-1.0,1.0,-1.0,-1.0,1.0,1.0,2.4820312254784227,0.216,0.3103448275862069,0.0,0.23913043478261659,0.3225806451612926,0.3461538461538435
141,2018-04-11 09:45:00,31.6,31.63,31.59,31.59,40.0,-0.01,-0.03,31.644,31.68,31.6585,49.0,45.3,47.6,0.0,31.59,31.6,0.03400000000000034,0.05000000000000071,31.70733333333332,31.805333333333344,51.701999999999984,113.23516666666667,31.595,-1.2941176470587201,-2.3529411764705146,-1.5882352941175868,-2.647058823529381,0.0007165782908131746,-0.08255763387990568,0.1665484243414377,31.466201845462233,31.850798154537767,-0.35621766711519365,-1.0,,,0.089552238805968,0.22222222222221782,0.0,0.0,31.64093915643359,31.659072024069566,31.68440565063994,31.70991922032347,31.75285393379825,-898.8630036083567,2.0131847987738354,1.0,-1.0,1.0,-1.0,-1.0,1.0,2.355243848926591,0.296,0.42528735632183906,0.25,0.23913043478261659,0.3225806451612926,0.3461538461538435
140,2018-04-11 09:50:00,31.59,31.63,31.63,31.59,162.0,0.04,0.13,31.644,31.676,31.658,70.8,58.1,52.9,0.02,31.59,31.63,0.05200000000000031,0.049999999999999524,31.697999999999986,31.803333333333345,55.46866666666665,111.66850000000001,31.61,-1.0384615384615032,-1.6538461538461156,-0.26923076923075506,-0.8846153846153674,-0.0027232082452428585,-0.06992876319866631,0.1344111099068469,31.47217589619827,31.843824103801733,-0.15068012936511893,-1.0,,,0.14925373134328002,0.3703703703703631,0.19999999999999646,0.2857142857142785,31.637292770955725,31.653786201501276,31.679223926808096,31.704756587665457,31.748676973091285,-576.6607993914382,1.3356355054459523,1.0,1.0,-1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,0.23913043478260884,0.32258064516128104,0.3461538461538298
139,2018-04-11 09:55:00,31.63,31.73,31.73,31.63,17.0,0.1,0.32,31.662,31.67,31.6605,63.8,59.5,52.35,0.0,31.63,31.73,0.05000000000000071,0.040000000000000334,31.694999999999986,31.802333333333348,55.801999999999985,111.30183333333335,31.68,-0.6399999999999915,-0.8000000000000427,1.3600000000000085,1.1999999999999573,0.009072636173186766,-0.057201191280292184,0.1325476549069579,31.48111977785236,31.839880222147638,0.38744516629486286,-1.0,,,0.29850746268656536,0.7407407407407393,0.7000000000000053,1.0,31.668195180637152,31.66764325579562,31.684059940296304,31.706387131330995,31.748042736135606,-601.6048223797678,1.2796559167860084,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0880503144654088,0.0,0.0,0.17391304347826592,0.2258064516129025,0.23076923076922448
138,2018-04-11 10:00:00,31.73,31.87,31.74,31.73,31.0,0.01,0.03,31.664,31.665,31.663,56.0,60.1,52.9,0.0,31.73,31.74,0.03400000000000034,0.040000000000000334,31.692999999999987,31.801500000000015,56.33533333333332,110.7185,31.735,1.9411764705881849,1.9117647058823712,2.235294117646947,2.2058823529411336,0.019215931764264838,-0.04233315567682305,0.12309817488217578,31.489080411754845,31.836919588245156,0.442733338877618,-1.0,,,0.3134328358208907,0.777777777777769,1.0,1.0,31.692130120424768,31.680799027486124,31.68938776138811,31.708558115405157,31.74776993858884,-900.0404367521702,1.717122858844892,1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,0.1761006289308176,0.09655172413793103,0.09655172413793103,0.17391304347826592,0.2258064516129025,0.23076923076922448
137,2018-04-11 10:05:00,31.74,31.87,31.75,31.73,96.0,0.01,0.03,31.688,31.672,31.6695,69.2,64.1,51.3,0.01,31.74,31.75,0.04800000000000111,0.04666666666666804,31.691333333333322,31.800833333333347,59.50199999999998,111.65183333333334,31.744999999999997,1.0833333333333,1.4166666666665888,1.291666666666661,1.62499999999995,0.013114884285958084,-0.028113768939478367,0.0824573064508729,31.50008892873697,31.838911071263027,0.47517555611826784,-1.0,,,0.32835820895522133,0.8148148148148119,1.0,1.0,31.711420080283176,31.69338102250193,31.695160548036444,31.711234567004862,31.74784549342815,-628.5309258086802,1.097603028993877,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,0.5849056603773585,0.5448275862068965,0.5448275862068965,0.21739130434783818,0.2903225806451702,0.3076923076923129
136,2018-04-11 10:10:00,31.75,31.85,31.85,31.73,37.0,0.1,0.31,31.74,31.692,31.6855,68.6,58.8,49.05,0.0,31.75,31.85,0.0460000000000008,0.05000000000000071,31.689666666666657,31.802833333333346,59.50199999999998,111.15183333333334,31.8,0.2173913043478563,1.2608695652173658,2.3913043478261105,3.43478260869562,0.00748371027966499,-0.01414105283542039,0.04324952623017076,31.49931341621371,31.871686583786293,0.883522306788853,-1.0,,,0.4776119402985067,1.0,1.0,1.0,31.75761338685545,31.721857200253446,31.709907607420302,31.720195888182985,31.75130272483545,-657.5882041657478,0.8998938568510546,-1.0,1.0,1.0,-1.0,1.0,1.0,0.0,0.2138364779874214,0.13793103448275862,0.13793103448275862,0.23913043478261659,0.3225806451612926,0.1500000000000035
135,2018-04-11 10:15:00,31.85,31.85,31.82,31.79,3.0,-0.03,-0.09,31.778,31.711,31.698,36.8,53.8,45.9,0.0,31.82,31.85,0.026000000000000512,0.04333333333333419,31.690333333333328,31.80350000000001,58.86866666666665,110.4685,31.835,2.76923076923082,5.346153846153852,1.6153846153846447,4.192307692307677,0.012427390823816609,-0.0038366546705940023,0.03252809098882122,31.50889316782793,31.88710683217207,0.6451379815246007,-1.0,,,0.43283582089552003,0.9062499999999966,0.8846153846153809,0.7499999999999926,31.7784089245703,31.73970134567452,31.720392883397963,31.72664072484235,31.75362520459648,-1188.2367019753272,1.2781661999429894,-1.0,-1.0,1.0,1.0,-1.0,1.0,2.2619201402907407,0.0,0.0,0.0,0.19565217391305204,0.23333333333333375,0.0500000000000071
134,2018-04-11 10:20:00,31.82,31.82,31.8,31.79,27.0,-0.02,-0.06,31.792,31.727,31.7085,38.8,51.3,44.15,0.0,31.8,31.82,0.03200000000000003,0.033333333333333805,31.690999999999992,31.80350000000001,58.16866666666665,109.38516666666668,31.810000000000002,0.8749999999999584,2.9062499999999964,0.24999999999997224,2.28125000000001,0.01791172534406016,0.0037223223417890226,0.028378806004542272,31.522342122445924,31.894657877554078,0.4915182811612151,-1.0,,,0.402985074626864,0.8214285714285696,0.8076923076923062,0.5454545454545513,31.78560594971353,31.7506647373764,31.727974700795343,31.73137761163998,31.75519141979222,-959.7136034501401,0.8505224686523586,1.0,-1.0,-1.0,1.0,1.0,-1.0,2.199353256390765,0.1509433962264151,0.1509433962264151,0.25806451612903225,0.13043478260870134,0.13333333333333017,0.0
133,2018-04-11 10:25:00,31.8,31.8,31.72,31.72,22.0,-0.08,-0.25,31.788,31.726,31.715,37.0,46.5,44.35,0.0,31.72,31.8,0.05,0.026666666666667282,31.688999999999997,31.802833333333346,52.235333333333315,99.11766666666668,31.759999999999998,0.2400000000000091,1.4800000000000324,-1.3600000000000279,-0.12000000000000455,0.027502182893307747,0.009395557602651866,0.036213250581311765,31.53786362651466,31.89213637348534,0.028226839590417746,-1.0,,,0.2835820895522347,0.49999999999999317,0.49999999999999317,0.0,31.76373729980902,31.745089330578054,31.727215188510577,31.730642987456907,31.754004071397528,-602.7805664704025,0.5357776577390183,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.965191093895939,0.11949685534591195,0.11949685534591195,0.20430107526881722,0.08695652173913682,0.0666666666666651,0.0
132,2018-04-11 10:30:00,31.72,31.72,31.72,31.66,63.0,0.0,0.0,31.782,31.735,31.711,30.4,49.8,46.25,0.01,31.72,31.72,0.03399999999999963,0.019999999999999574,31.68766666666666,31.801500000000015,51.201999999999984,86.10100000000001,31.72,-1.82352941176476,-0.4411764705882568,-1.82352941176476,-0.4411764705882568,0.03723923702404974,0.012888856321833009,0.04870076140443347,31.542453857276104,31.879546142723893,0.05339784022671939,-1.0,,,0.2835820895522347,0.49999999999999317,0.49999999999999317,0.0,31.74915819987268,31.74052763410755,31.726528013807805,31.729955831451072,31.752857875923155,-901.3803190007872,0.7744077092750163,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.965191093895939,0.37735849056603776,0.37735849056603776,1.0,0.05714285714285627,0.0,0.0
131,2018-04-11 10:35:00,31.72,31.72,31.72,31.66,8.0,0.0,0.0,31.756,31.748,31.714,24.6,46.6,45.95,0.0,31.72,31.72,0.03599999999999994,0.05666666666666605,31.68833333333333,31.800000000000015,47.26833333333332,83.61766666666668,31.72,-1.0000000000000395,-0.7777777777778414,-1.0000000000000395,-0.7777777777778414,0.030589622522775528,0.01709983313876377,0.026979578768023517,31.553632596670656,31.87436740332934,0.03741408712391624,-1.0,,,0.2835820895522347,0.49999999999999317,0.40909090909090395,0.0,31.73943879991512,31.736795336995907,31.725906286835006,31.729313072025473,31.751751334745368,-849.5234232995618,0.7179179975100634,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.965191093895939,0.031446540880503145,0.031446540880503145,0.08333333333333333,0.406249999999992,0.4230769230769126,1.0
130,2018-04-11 10:40:00,31.66,31.72,31.72,31.66,39.0,0.06,0.19,31.736,31.757,31.7165,31.8,34.3,46.2,0.0,31.66,31.72,0.04799999999999969,0.05666666666666605,31.690999999999995,31.79533333333335,46.69999999999998,79.41766666666668,31.689999999999998,-1.5833333333333544,-2.020833333333374,-0.3333333333333728,-0.7708333333333922,0.03220027375765966,0.01964897284302024,0.025102601829278835,31.56391883891194,31.86908116108806,0.02293861165454716,-1.0,,,0.2835820895522347,0.49999999999999317,0.0,0.0,31.732959199943412,31.733741639359497,31.72534377401784,31.728711836893023,31.750683008593484,-629.1939789501158,0.527900720325902,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.965191093895939,0.22641509433962265,0.3870967741935484,0.5636363636363636,0.406249999999992,0.4230769230769126,1.0
129,2018-04-11 10:45:00,31.72,31.72,31.61,31.61,120.0,-0.11,-0.35,31.698,31.745,31.7075,50.4,44.6,52.05,0.01,31.61,31.72,0.039999999999999855,0.040000000000000334,31.688666666666666,31.785500000000013,49.76666666666665,58.28433333333334,31.665,0.5499999999999636,-0.6250000000000555,-2.200000000000032,-3.3750000000000515,0.039942206619993925,0.021033258399160617,0.03781789644166662,31.546594056004157,31.868405943995842,-0.6059440538910055,-1.0,,,0.11940298507462402,0.07692307692307482,0.0,0.0,31.691972799962276,31.711243159471188,31.714358488200443,31.721048337200543,31.745953562405344,-760.5533664366544,0.7898768551225317,1.0,1.0,-1.0,1.0,-1.0,1.0,1.6418899720519562,0.7358490566037735,1.0,1.0,0.2500000000000028,0.230769230769235,0.545454545454569
